product_id,product_name,category,unit_cost,weight_kg,dimensions_cm
PRD00126,Husband Lite,Books,156.53,7.2,25x26x97
PRD00127,Spring Lite,Home & Kitchen,411.84,13.2,70x10x25
PRD00128,Personal Max,Sports,347.93,2.11,43x53x8
PRD00129,Yourself Standard,Home & Kitchen,234.96,14.14,91x18x93
PRD00130,Admit Pro,Toys,454.82,2.83,99x20x39
PRD00131,Hospital Lite,Books,490.82,13.9,60x31x18
PRD00132,Allow Max,Books,125.56,16.12,98x78x54
PRD00133,Season Lite,Electronics,391.23,10.45,18x25x57
PRD00134,Program Standard,Home & Kitchen,145.03,14.37,92x27x46
PRD00135,Describe Lite,Home & Kitchen,285.31,16.86,10x87x73
PRD00136,Paper Standard,Electronics,192.76,19.16,48x43x31
PRD00137,Movement Standard,Home & Kitchen,180.46,1.98,98x19x63
PRD00138,Fund Max,Electronics,474.02,12.61,85x59x16
PRD00139,Book Pro,Sports,57.68,14.73,73x23x99
PRD00140,Theory Max,Home & Kitchen,58.18,4.19,17x71x31
PRD00141,Trade Pro,Books,152.64,16.79,63x45x33
PRD00142,Little Pro,Books,167.38,12.9,94x7x97
PRD00143,Themselves Max,Electronics,44.4,7.11,37x57x35
PRD00144,Town Lite,Home & Kitchen,292.74,12.88,63x99x59
PRD00145,Resource Max,Toys,144.7,6.4,54x5x22
PRD00146,Between Standard,Electronics,11.4,9.18,54x44x24
PRD00147,Cause Pro,Books,80.44,2.16,52x99x62
PRD00148,Turn Pro,Home & Kitchen,369.97,3.62,76x37x5
PRD00149,Yes Max,Books,286.51,12.45,48x92x42
PRD00150,Say Pro,Home & Kitchen,497.98,19.59,77x68x37
PRD00151,Once Pro,Electronics,235.64,9.21,75x25x54
PRD00152,Rate Lite,Sports,481.23,13.93,95x21x37
PRD00153,Difficult Standard,Electronics,284.54,2.18,37x20x99
PRD00154,Hand Max,Home & Kitchen,85.83,14.72,45x94x41
PRD00155,Seek Lite,Books,98.59,4.97,12x49x10
PRD00156,Someone Pro,Books,201.87,13.85,14x100x10
PRD00157,Test Lite,Books,388.02,18.86,46x30x64
PRD00158,Take Standard,Toys,175.72,19.74,99x47x44
PRD00159,Sure Lite,Electronics,223.17,2.7,87x84x66
PRD00160,Or Standard,Sports,267.13,13.42,52x41x65
PRD00161,Forget Max,Books,64.96,0.31,93x28x47
PRD00162,Person Standard,Home & Kitchen,328.42,11.77,12x44x94
PRD00163,Better Standard,Electronics,117.38,4.07,28x20x75
PRD00164,Live Pro,Electronics,111.56,7.01,86x19x71
PRD00165,Power Pro,Toys,24.51,19.23,98x30x92
PRD00166,Similar Pro,Home & Kitchen,434.39,1.37,50x28x49
PRD00167,Head Pro,Books,71.14,8.43,78x16x46
PRD00168,Rule Standard,Toys,48.18,15.21,91x49x84
PRD00169,Sign Pro,Toys,403.25,9.1,23x7x25
PRD00170,Down Lite,Toys,197.68,3.2,91x23x65
PRD00171,Medical Standard,Home & Kitchen,202.64,4.09,95x5x42
PRD00172,Thank Standard,Sports,150.55,5.03,14x64x38
PRD00173,Measure Max,Sports,410.36,12.23,77x11x33
PRD00174,According Lite,Home & Kitchen,99.91,11.35,33x37x72
PRD00175,Special Max,Sports,224.62,4.93,32x9x82
PRD00176,High Lite,Books,223.64,3.04,38x11x52
PRD00177,Show Lite,Sports,235.9,6.39,43x28x5
PRD00178,Remain Max,Books,363.2,10.33,13x74x67
PRD00179,Return Standard,Sports,143.95,7.03,29x12x93
PRD00180,Whom Standard,Electronics,289.19,15.36,62x32x92
PRD00181,Possible Pro,Books,495.91,16.6,28x93x27
PRD00182,Safe Standard,Home & Kitchen,330.35,12.43,80x54x34
PRD00183,Position Standard,Books,166.47,3.63,67x66x96
PRD00184,Garden Max,Books,295.19,10.47,17x9x43
PRD00185,Same Max,Electronics,335.34,8.29,60x93x52
PRD00186,Thing Standard,Books,43.09,16.23,49x72x66
PRD00187,To Lite,Electronics,334.51,14.22,9x97x72
PRD00188,Color Max,Books,477.04,15.58,21x77x33
PRD00189,I Standard,Books,211.59,6.04,11x26x52
PRD00190,Air Max,Toys,343.55,6.82,21x79x62
PRD00191,Learn Standard,Books,124.17,14.41,100x93x32
PRD00192,Support Standard,Sports,452.98,13.74,79x70x34
PRD00193,Join Max,Sports,169.7,17.22,62x14x80
PRD00194,Night Max,Books,484.23,16.92,7x94x56
PRD00195,News Max,Sports,131.4,7.82,78x23x21
PRD00196,Order Standard,Electronics,443.88,1.75,47x73x87
PRD00197,Make Standard,Toys,335.12,13.47,97x37x20
PRD00198,Letter Max,Sports,255.99,12.5,12x94x74
PRD00199,Ask Max,Sports,103.47,14.37,30x55x58
PRD00200,Degree Pro,Home & Kitchen,275.41,18.76,40x58x95
PRD00201,Top Lite,Home & Kitchen,20.28,1.29,61x71x96
PRD00202,System Pro,Toys,493.76,4.06,49x59x84
PRD00203,Growth Standard,Books,188.77,14.63,77x9x43
PRD00204,Painting Lite,Toys,144.17,6.42,17x70x71
PRD00205,Trade Lite,Toys,406.0,2.28,87x36x100
PRD00206,Community Pro,Books,16.55,15.87,26x15x70
PRD00207,Team Lite,Home & Kitchen,380.95,1.55,83x23x49
PRD00208,Fund Lite,Electronics,452.24,14.36,63x87x22
PRD00209,Family Standard,Electronics,69.29,7.28,54x34x64
PRD00210,Anyone Lite,Sports,254.44,3.38,31x17x81
PRD00211,Off Pro,Electronics,329.7,13.49,76x22x80
PRD00212,Good Standard,Electronics,208.84,7.12,79x27x30
PRD00213,Hold Max,Books,363.37,4.18,7x87x19
PRD00214,Growth Pro,Home & Kitchen,169.81,3.89,55x85x34
PRD00215,Position Pro,Toys,213.85,11.95,20x48x30
PRD00216,Total Max,Home & Kitchen,354.25,6.61,28x71x13
PRD00217,Pm Lite,Books,417.53,19.73,66x48x36
PRD00218,Space Lite,Electronics,188.85,15.95,40x38x55
PRD00219,Sign Pro,Sports,57.77,13.33,47x80x90
PRD00220,Assume Lite,Toys,293.27,19.6,69x98x26
PRD00221,Want Pro,Toys,456.61,10.04,37x38x24
PRD00222,Born Max,Sports,426.43,12.85,42x5x38
PRD00223,Bill Lite,Electronics,406.31,18.91,36x30x88
PRD00224,Sell Standard,Sports,223.78,5.23,44x79x47
PRD00225,Nature Pro,Sports,292.78,6.51,60x28x70
PRD00226,Enjoy Pro,Home & Kitchen,283.09,6.35,29x66x65
PRD00227,Health Standard,Electronics,219.25,10.23,50x26x25
PRD00228,However Lite,Sports,343.18,15.62,28x6x100
PRD00229,Fire Lite,Electronics,89.63,7.53,24x39x77
PRD00230,Difficult Standard,Books,211.74,12.25,48x54x53
PRD00231,Everything Pro,Sports,400.8,7.15,65x13x42
PRD00232,Improve Lite,Electronics,324.91,16.54,97x57x25
PRD00233,Pattern Lite,Home & Kitchen,459.98,13.08,57x63x89
PRD00234,Bit Max,Electronics,48.22,1.97,13x77x42
PRD00235,Easy Lite,Electronics,240.69,3.6,89x44x66
PRD00236,Identify Max,Books,285.13,3.6,65x28x71
PRD00237,Move Lite,Toys,462.01,15.0,42x66x38
PRD00238,Nation Pro,Home & Kitchen,79.55,2.97,33x47x23
PRD00239,Special Pro,Electronics,20.65,3.14,6x41x15
PRD00240,Perhaps Max,Sports,273.13,11.46,74x23x94
PRD00241,Avoid Standard,Sports,190.91,11.98,78x90x87
PRD00242,Happen Lite,Electronics,222.53,2.18,25x23x21
PRD00243,Trial Pro,Books,107.45,7.15,86x65x61
PRD00244,Rich Pro,Toys,126.43,1.45,40x40x61
PRD00245,Quite Max,Electronics,443.24,8.77,9x28x23
PRD00246,Pay Lite,Electronics,120.31,16.68,76x42x57
PRD00247,Economic Lite,Home & Kitchen,104.53,4.39,16x28x92
PRD00248,Season Pro,Electronics,470.73,1.34,35x96x73
PRD00249,Church Lite,Electronics,337.2,0.17,71x7x69
PRD00250,Once Max,Sports,232.6,13.47,44x45x77
PRD00251,Miss Lite,Home & Kitchen,193.46,7.72,54x12x50
PRD00252,Hand Pro,Books,55.53,10.36,82x39x81
PRD00253,Interview Max,Books,19.26,11.9,26x58x25
PRD00254,Get Max,Toys,335.28,5.04,20x74x55
PRD00255,Reveal Max,Electronics,153.01,15.54,27x30x73
PRD00256,Structure Max,Sports,416.85,6.8,14x12x12
PRD00257,Year Lite,Toys,146.35,12.14,91x61x30
PRD00258,Meeting Standard,Sports,431.84,12.68,42x71x58
PRD00259,Project Standard,Toys,244.51,12.08,49x52x35
PRD00260,Half Max,Home & Kitchen,13.66,16.31,62x27x95
PRD00261,Prepare Pro,Toys,252.24,11.62,36x59x37
PRD00262,Fire Standard,Sports,184.7,10.89,17x97x7
PRD00263,Sell Pro,Sports,409.11,4.21,85x44x7
PRD00264,Policy Standard,Electronics,497.89,13.42,63x49x97
PRD00265,Realize Max,Books,39.61,11.55,28x95x36
PRD00266,High Standard,Books,245.04,2.97,92x36x50
PRD00267,White Standard,Toys,434.58,13.66,57x19x9
PRD00268,College Lite,Sports,72.53,0.82,97x84x32
PRD00269,Office Pro,Books,126.38,8.34,43x67x85
PRD00270,Guy Lite,Sports,230.04,2.01,99x59x62
PRD00271,Because Max,Home & Kitchen,91.55,3.72,10x83x41
PRD00272,Between Max,Books,32.17,7.32,79x94x18
PRD00273,Even Standard,Electronics,292.33,18.48,15x17x13
PRD00274,Early Max,Books,366.59,6.29,60x18x34
PRD00275,Thus Max,Electronics,490.09,17.41,62x97x21
PRD00276,Long Lite,Books,54.34,14.0,40x36x25
PRD00277,Challenge Lite,Toys,26.53,12.89,88x98x35
PRD00278,Room Lite,Electronics,240.61,10.6,83x51x58
PRD00279,Central Pro,Books,479.61,3.34,46x81x69
PRD00280,Low Lite,Books,117.68,14.33,53x61x51
PRD00281,City Max,Toys,212.27,18.53,36x80x24
PRD00282,Space Lite,Toys,31.15,11.76,82x39x15
PRD00283,Party Lite,Home & Kitchen,167.03,18.12,41x5x79
PRD00284,Suggest Max,Home & Kitchen,344.74,13.87,45x11x79
PRD00285,Result Pro,Electronics,371.82,0.66,76x60x90
PRD00286,Measure Standard,Books,250.97,8.24,40x71x27
PRD00287,Where Lite,Books,307.27,16.18,5x82x67
PRD00288,Single Lite,Sports,283.94,15.09,36x11x23
PRD00289,Wind Standard,Home & Kitchen,292.67,5.66,29x40x76
PRD00290,Clearly Standard,Toys,255.7,17.51,62x27x63
PRD00291,Garden Standard,Home & Kitchen,39.87,7.72,92x26x5
PRD00292,Quite Lite,Books,115.41,4.82,80x7x68
PRD00293,Exist Lite,Sports,82.3,12.82,50x41x55
PRD00294,Admit Standard,Electronics,115.06,12.67,43x12x5
PRD00295,Its Max,Books,280.06,7.93,27x56x59
PRD00296,Somebody Lite,Electronics,50.76,19.88,5x66x26
PRD00297,Go Max,Books,397.34,3.7,53x20x68
PRD00298,Among Pro,Books,337.98,0.4,88x15x42
PRD00299,Any Pro,Toys,11.78,17.27,89x64x35
PRD00300,Employee Standard,Electronics,486.52,6.93,84x99x39
PRD00301,Try Max,Toys,261.57,1.71,13x94x48
PRD00302,Lead Pro,Books,187.27,5.26,22x32x79
PRD00303,Concern Lite,Books,60.15,18.98,65x52x29
PRD00304,It Lite,Books,472.07,19.57,76x76x88
PRD00305,Natural Lite,Sports,494.29,12.79,95x93x22
PRD00306,This Pro,Electronics,159.33,7.67,78x27x28
PRD00307,Serve Lite,Home & Kitchen,449.62,10.62,59x17x24
PRD00308,Heart Pro,Electronics,42.33,14.82,17x10x37
PRD00309,Item Standard,Books,200.52,10.14,14x24x95
PRD00310,Party Standard,Books,498.34,6.99,15x29x96
PRD00311,If Pro,Electronics,125.28,2.08,69x29x38
PRD00312,Have Lite,Books,130.97,12.03,23x20x15
PRD00313,You Pro,Books,358.82,15.64,84x67x33
PRD00314,Interview Max,Home & Kitchen,318.78,3.04,42x52x52
PRD00315,Later Lite,Home & Kitchen,281.52,15.52,44x92x73
PRD00316,Prepare Max,Sports,265.32,19.6,10x43x66
PRD00317,Quite Lite,Home & Kitchen,394.13,7.45,68x32x95
PRD00318,Part Max,Books,40.85,18.26,89x54x65
PRD00319,Red Pro,Sports,362.35,8.86,77x23x16
PRD00320,Power Max,Electronics,400.17,8.65,84x69x27
PRD00321,Why Lite,Home & Kitchen,448.79,1.77,56x61x28
PRD00322,Method Lite,Sports,277.51,10.84,21x11x23
PRD00323,My Pro,Sports,353.05,18.31,68x28x72
PRD00324,Air Max,Home & Kitchen,354.13,7.74,50x79x95
PRD00325,Paper Standard,Sports,341.47,16.7,57x87x58
PRD00326,Likely Lite,Electronics,69.27,18.72,58x84x60
PRD00327,Exactly Lite,Home & Kitchen,257.93,15.73,90x75x80
PRD00328,Republican Max,Books,499.61,5.9,83x90x77
PRD00329,Unit Pro,Sports,45.2,2.87,81x81x51
PRD00330,Interest Max,Toys,429.34,6.53,90x84x85
PRD00331,Help Lite,Toys,378.38,2.23,91x28x22
PRD00332,Add Lite,Sports,195.34,19.53,16x85x15
PRD00333,Decade Max,Sports,485.25,1.7,46x67x20
PRD00334,Fast Max,Home & Kitchen,76.17,10.96,40x59x81
PRD00335,Else Standard,Sports,432.76,4.84,68x89x44
PRD00336,Position Pro,Sports,254.03,7.03,92x64x67
PRD00337,Home Lite,Books,157.14,9.23,52x7x45
PRD00338,Both Pro,Toys,84.49,5.46,31x96x7
PRD00339,Sometimes Pro,Home & Kitchen,213.83,8.55,94x36x19
PRD00340,Sign Lite,Electronics,141.85,1.38,70x70x37
PRD00341,Fall Lite,Books,362.02,17.48,78x32x11
PRD00342,Old Standard,Toys,156.53,16.33,61x44x80
PRD00343,Would Lite,Electronics,397.38,17.93,23x60x83
PRD00344,Career Standard,Toys,318.12,11.12,35x65x8
PRD00345,Under Lite,Home & Kitchen,81.12,18.7,28x66x95
PRD00346,Series Standard,Toys,411.04,3.24,80x16x73
PRD00347,Into Max,Sports,82.65,10.04,46x100x88
PRD00348,Someone Standard,Home & Kitchen,372.23,14.32,43x100x43
PRD00349,Young Lite,Home & Kitchen,193.1,1.6,92x100x29
PRD00350,It Lite,Books,460.09,13.45,84x6x92
PRD00351,Economy Pro,Home & Kitchen,416.86,3.35,56x40x64
PRD00352,Require Max,Home & Kitchen,52.94,8.55,50x29x85
PRD00353,No Max,Books,196.48,14.49,45x58x37
PRD00354,Everyone Standard,Sports,479.33,13.52,57x99x66
PRD00355,Myself Max,Electronics,452.66,9.97,69x18x100
PRD00356,Prevent Pro,Sports,202.88,15.75,66x41x97
PRD00357,Half Max,Electronics,458.7,12.69,99x90x89
PRD00358,Between Lite,Books,434.3,15.41,58x98x40
PRD00359,Writer Standard,Home & Kitchen,144.14,18.75,59x64x89
PRD00360,Article Pro,Sports,216.08,18.67,96x50x21
PRD00361,Certain Max,Electronics,162.03,16.22,64x65x63
PRD00362,Another Max,Books,411.22,2.74,9x92x7
PRD00363,Step Pro,Electronics,485.3,15.91,67x60x49
PRD00364,Add Lite,Electronics,470.81,6.63,94x49x16
PRD00365,Structure Lite,Toys,203.72,1.94,50x37x84
PRD00366,Toward Max,Home & Kitchen,276.35,4.05,16x32x85
PRD00367,Kitchen Standard,Sports,253.15,4.69,86x20x15
PRD00368,Whose Lite,Home & Kitchen,353.21,6.15,21x8x8
PRD00369,However Standard,Electronics,449.91,0.47,40x11x47
PRD00370,Risk Pro,Electronics,297.8,2.37,69x56x69
PRD00371,Trouble Max,Toys,333.59,19.9,21x45x67
PRD00372,If Lite,Toys,32.63,7.13,23x15x52
PRD00373,Situation Standard,Sports,184.29,9.07,21x33x100
PRD00374,Adult Pro,Electronics,39.99,5.9,54x56x78
PRD00375,Thus Lite,Home & Kitchen,140.99,13.99,75x5x59
PRD00376,Something Lite,Toys,257.46,1.81,89x91x64
PRD00377,Fish Standard,Electronics,333.17,3.64,80x96x38
PRD00378,Drive Lite,Home & Kitchen,361.68,13.64,83x55x79
PRD00379,Garden Max,Sports,425.09,0.57,38x52x37
PRD00380,Mouth Lite,Books,303.43,4.77,93x33x80
PRD00381,Fish Pro,Home & Kitchen,64.58,5.85,6x51x53
PRD00382,Beautiful Max,Sports,17.68,17.81,38x23x5
PRD00383,Guess Lite,Home & Kitchen,411.6,6.4,13x72x65
PRD00384,Sister Pro,Home & Kitchen,204.9,2.85,5x94x46
PRD00385,Week Max,Sports,466.07,16.3,84x43x80
PRD00386,Friend Lite,Books,383.4,12.46,52x97x38
PRD00387,Hospital Standard,Home & Kitchen,401.79,9.87,81x77x82
PRD00388,Good Pro,Sports,227.31,15.43,45x93x45
PRD00389,Long Max,Home & Kitchen,429.91,3.11,74x84x19
PRD00390,Season Pro,Sports,38.81,7.28,20x29x31
PRD00391,Attack Standard,Toys,34.79,13.65,6x59x50
PRD00392,Reason Max,Electronics,20.13,7.37,90x42x86
PRD00393,She Max,Home & Kitchen,432.72,8.23,59x6x6
PRD00394,Receive Standard,Sports,358.62,12.13,41x84x46
PRD00395,They Max,Electronics,335.01,15.91,44x35x98
PRD00396,Effect Standard,Sports,245.49,7.98,13x47x43
PRD00397,Study Standard,Sports,38.31,10.29,83x60x95
PRD00398,Account Pro,Sports,478.0,15.33,100x86x46
PRD00399,Final Max,Toys,357.91,3.49,87x59x88
PRD00400,Player Max,Toys,323.59,7.11,39x13x34
PRD00401,Risk Max,Home & Kitchen,13.9,12.65,26x66x48
PRD00402,Film Pro,Home & Kitchen,245.93,7.78,32x16x18
PRD00403,Ever Pro,Home & Kitchen,82.24,0.54,70x39x45
PRD00404,Watch Lite,Sports,286.31,2.11,16x18x62
PRD00405,Need Lite,Sports,175.78,7.18,10x34x52
PRD00406,Civil Pro,Electronics,200.07,14.57,96x77x32
PRD00407,Want Standard,Books,18.85,5.05,73x40x18
PRD00408,Meeting Lite,Books,220.54,14.65,55x92x43
PRD00409,National Max,Sports,422.29,4.58,44x33x19
PRD00410,Structure Lite,Sports,221.85,13.44,99x16x47
PRD00411,Among Pro,Toys,428.59,12.5,52x77x57
PRD00412,Husband Pro,Sports,21.74,12.6,8x29x63
PRD00413,List Lite,Books,419.57,15.48,13x82x86
PRD00414,Return Standard,Sports,424.5,6.05,82x99x72
PRD00415,Away Lite,Toys,148.3,16.37,97x90x37
PRD00416,Certain Lite,Sports,150.61,13.96,63x36x57
PRD00417,Certain Pro,Toys,247.7,15.77,32x72x13
PRD00418,Talk Lite,Home & Kitchen,19.91,2.4,36x46x14
PRD00419,Image Lite,Electronics,391.26,7.37,35x65x9
PRD00420,Later Standard,Books,389.24,0.15,54x96x94
PRD00421,Commercial Lite,Sports,145.74,3.18,62x17x21
PRD00422,Surface Standard,Sports,312.43,16.21,77x24x77
PRD00423,Choice Max,Books,477.3,3.54,82x19x21
PRD00424,General Standard,Books,438.68,18.9,20x77x24
PRD00425,Fact Pro,Books,43.11,16.2,41x76x34
PRD00426,Entire Pro,Sports,124.1,3.17,14x31x98
PRD00427,Even Standard,Electronics,153.09,16.83,19x100x40
PRD00428,He Standard,Home & Kitchen,437.8,14.14,16x44x64
PRD00429,Apply Max,Electronics,318.17,19.04,44x6x60
PRD00430,Author Pro,Electronics,460.08,9.6,26x36x49
PRD00431,Court Max,Toys,275.91,3.45,95x80x11
PRD00432,Reason Lite,Books,191.33,2.99,21x55x18
PRD00433,Trade Pro,Sports,140.1,16.37,36x38x64
PRD00434,Democrat Lite,Books,73.15,2.23,76x66x89
PRD00435,Appear Pro,Toys,108.62,1.48,68x12x88
PRD00436,Since Pro,Home & Kitchen,140.0,2.55,88x86x60
PRD00437,Cell Max,Electronics,334.91,9.74,68x48x84
PRD00438,Listen Pro,Books,19.4,9.27,43x40x11
PRD00439,Everybody Standard,Sports,38.96,11.57,10x18x98
PRD00440,Audience Pro,Home & Kitchen,10.77,17.97,89x80x82
PRD00441,Challenge Lite,Books,388.51,1.99,83x44x35
PRD00442,Simply Pro,Home & Kitchen,440.6,14.48,11x67x96
PRD00443,Late Standard,Electronics,168.58,14.56,19x6x7
PRD00444,Take Lite,Toys,59.49,4.73,6x40x5
PRD00445,Result Pro,Electronics,421.75,3.94,98x96x16
