order_id,product_id,warehouse_id,order_date,quantity,sales_channel
ORD0000063,PRD09977,WH001,2025-04-23,46,wholesale
ORD0000064,PRD01176,WH004,2025-07-16,44,retail
ORD0000065,PRD01099,WH007,2025-06-18,16,retail
ORD0000066,PRD07730,WH015,2024-12-18,2,wholesale
ORD0000067,PRD00097,WH016,2025-05-05,47,online
ORD0000068,PRD05763,WH007,2024-12-22,14,online
ORD0000069,PRD00125,WH001,2025-04-26,25,online
ORD0000070,PRD06638,WH009,2025-04-22,44,retail
ORD0000071,PRD09284,WH013,2024-10-22,24,wholesale
ORD0000072,PRD09513,WH010,2025-05-31,12,retail
ORD0000073,PRD00994,WH019,2024-10-16,34,wholesale
ORD0000074,PRD07383,WH011,2025-05-14,37,retail
ORD0000075,PRD02384,WH011,2025-07-05,11,retail
ORD0000076,PRD08742,WH001,2025-08-19,3,online
ORD0000077,PRD05241,WH005,2024-10-10,31,wholesale
ORD0000078,PRD09007,WH006,2025-02-08,43,wholesale
ORD0000079,PRD03532,WH011,2025-06-29,32,retail
ORD0000080,PRD05947,WH009,2025-06-03,7,retail
ORD0000081,PRD00306,WH020,2025-05-01,42,online
ORD0000082,PRD04045,WH018,2024-11-22,10,wholesale
ORD0000083,PRD08769,WH017,2024-12-27,41,online
ORD0000084,PRD04042,WH002,2025-06-12,15,online
ORD0000085,PRD04980,WH012,2025-02-17,50,online
ORD0000086,PRD07905,WH009,2025-06-22,11,retail
ORD0000087,PRD01270,WH008,2025-01-18,11,online
ORD0000088,PRD07575,WH014,2025-01-24,22,retail
ORD0000089,PRD07315,WH018,2025-07-26,20,online
ORD0000090,PRD09618,WH007,2025-04-09,26,wholesale
ORD0000091,PRD08387,WH007,2025-06-27,49,online
ORD0000092,PRD09485,WH002,2025-07-06,42,retail
ORD0000093,PRD00564,WH013,2024-09-28,45,wholesale
ORD0000094,PRD00531,WH011,2025-09-07,7,wholesale
ORD0000095,PRD06314,WH013,2025-01-18,2,retail
ORD0000096,PRD06837,WH009,2025-02-13,35,retail
ORD0000097,PRD05780,WH006,2025-02-26,7,retail
ORD0000098,PRD01735,WH009,2025-03-16,41,retail
ORD0000099,PRD05214,WH019,2025-06-19,12,wholesale
ORD0000100,PRD07702,WH004,2025-06-14,49,online
ORD0000101,PRD04339,WH013,2024-12-28,32,wholesale
ORD0000102,PRD03698,WH012,2025-04-11,15,online
ORD0000103,PRD06836,WH016,2025-03-01,23,retail
ORD0000104,PRD08688,WH005,2025-08-05,41,wholesale
ORD0000105,PRD03284,WH013,2025-05-26,48,wholesale
ORD0000106,PRD07377,WH010,2025-07-04,10,retail
ORD0000107,PRD03690,WH018,2025-03-04,16,wholesale
ORD0000108,PRD05992,WH018,2025-01-30,37,retail
ORD0000109,PRD06286,WH016,2025-02-01,30,retail
ORD0000110,PRD03971,WH018,2025-06-01,47,retail
ORD0000111,PRD00015,WH010,2024-11-04,37,retail
ORD0000112,PRD04065,WH007,2025-09-25,6,retail
ORD0000113,PRD06390,WH014,2024-11-21,44,retail
ORD0000114,PRD08119,WH013,2025-04-28,25,retail
ORD0000115,PRD06241,WH001,2024-12-01,49,online
ORD0000116,PRD03560,WH005,2024-10-24,5,retail
ORD0000117,PRD00142,WH006,2025-06-02,25,wholesale
ORD0000118,PRD04593,WH019,2024-11-16,41,wholesale
ORD0000119,PRD06590,WH006,2025-03-14,50,online
ORD0000120,PRD03170,WH008,2025-05-15,30,retail
ORD0000121,PRD02099,WH010,2025-09-23,23,retail
ORD0000122,PRD04059,WH007,2025-08-04,41,wholesale
ORD0000123,PRD05857,WH020,2024-11-06,9,wholesale
ORD0000124,PRD05416,WH002,2025-05-16,43,retail
ORD0000125,PRD08797,WH017,2025-03-09,24,online
ORD0000126,PRD01882,WH001,2025-06-20,7,retail
ORD0000127,PRD07795,WH006,2025-06-03,18,online
ORD0000128,PRD04063,WH020,2025-04-18,5,retail
ORD0000129,PRD02545,WH012,2024-12-11,10,online
ORD0000130,PRD02934,WH016,2025-07-29,39,wholesale
ORD0000131,PRD06356,WH012,2024-10-03,47,retail
ORD0000132,PRD03377,WH003,2025-03-19,46,online
ORD0000133,PRD09407,WH014,2025-05-08,38,retail
ORD0000134,PRD05951,WH004,2024-11-25,34,online
ORD0000135,PRD05277,WH015,2025-08-02,35,retail
ORD0000136,PRD03281,WH002,2025-08-30,26,retail
ORD0000137,PRD09108,WH017,2025-08-19,19,wholesale
ORD0000138,PRD09502,WH008,2025-04-28,5,wholesale
ORD0000139,PRD07669,WH011,2025-07-07,16,wholesale
ORD0000140,PRD06509,WH008,2025-06-24,15,wholesale
ORD0000141,PRD02428,WH013,2024-10-21,23,wholesale
ORD0000142,PRD00744,WH013,2025-05-25,27,wholesale
ORD0000143,PRD02615,WH014,2025-05-21,16,retail
ORD0000144,PRD07125,WH013,2025-08-29,15,online
ORD0000145,PRD05240,WH003,2025-02-01,25,retail
ORD0000146,PRD07618,WH017,2025-07-21,25,retail
ORD0000147,PRD02814,WH017,2025-04-14,3,online
ORD0000148,PRD05656,WH008,2025-01-25,49,retail
ORD0000149,PRD03310,WH010,2025-09-02,49,retail
ORD0000150,PRD08741,WH015,2025-05-19,1,online
ORD0000151,PRD03437,WH016,2024-10-09,34,online
ORD0000152,PRD01101,WH005,2025-02-28,28,retail
ORD0000153,PRD09202,WH010,2025-08-30,36,wholesale
ORD0000154,PRD08957,WH006,2025-07-15,20,online
ORD0000155,PRD04237,WH006,2025-07-27,45,retail
ORD0000156,PRD04853,WH007,2025-08-12,12,wholesale
ORD0000157,PRD07747,WH007,2025-01-23,27,online
ORD0000158,PRD03038,WH009,2025-06-17,35,online
ORD0000159,PRD03798,WH016,2024-10-30,41,retail
ORD0000160,PRD02906,WH003,2025-03-04,13,online
ORD0000161,PRD01852,WH018,2025-06-30,28,online
ORD0000162,PRD03855,WH008,2025-04-25,50,online
ORD0000163,PRD03384,WH012,2025-03-29,16,retail
ORD0000164,PRD07064,WH007,2025-02-18,38,retail
ORD0000165,PRD02202,WH009,2025-01-20,31,online
ORD0000166,PRD00585,WH002,2025-08-19,37,online
ORD0000167,PRD00874,WH008,2025-05-30,4,retail
ORD0000168,PRD06726,WH001,2025-07-02,40,wholesale
ORD0000169,PRD00393,WH006,2025-02-02,30,online
ORD0000170,PRD05996,WH018,2024-10-08,16,retail
ORD0000171,PRD09049,WH015,2025-05-19,43,online
ORD0000172,PRD02769,WH011,2025-06-09,37,wholesale
ORD0000173,PRD09818,WH014,2025-04-08,7,online
ORD0000174,PRD03801,WH001,2025-02-22,44,retail
ORD0000175,PRD08073,WH006,2025-01-29,27,retail
ORD0000176,PRD02549,WH004,2025-08-31,44,online
ORD0000177,PRD00964,WH004,2024-11-22,30,online
ORD0000178,PRD04267,WH014,2025-08-07,6,wholesale
ORD0000179,PRD09948,WH005,2025-05-21,21,wholesale
ORD0000180,PRD09372,WH003,2025-09-04,21,wholesale
ORD0000181,PRD06292,WH008,2024-12-18,6,online
ORD0000182,PRD01763,WH009,2025-09-21,50,retail
ORD0000183,PRD00195,WH011,2025-06-18,40,retail
ORD0000184,PRD09829,WH002,2025-03-28,42,retail
ORD0000185,PRD02104,WH004,2024-09-29,27,wholesale
ORD0000186,PRD00644,WH006,2024-10-01,44,online
ORD0000187,PRD00396,WH013,2025-08-18,4,online
ORD0000188,PRD01608,WH011,2025-05-17,22,retail
ORD0000189,PRD00659,WH015,2025-04-15,2,retail
ORD0000190,PRD07297,WH004,2024-12-23,35,online
ORD0000191,PRD09543,WH008,2025-07-08,23,wholesale
ORD0000192,PRD01156,WH004,2025-05-01,45,wholesale
ORD0000193,PRD01370,WH013,2025-06-20,34,retail
ORD0000194,PRD06352,WH005,2025-05-05,42,wholesale
ORD0000195,PRD00141,WH006,2025-01-04,10,wholesale
ORD0000196,PRD08237,WH009,2025-01-27,41,retail
ORD0000197,PRD03328,WH015,2025-05-17,6,retail
ORD0000198,PRD08825,WH010,2024-11-03,48,wholesale
ORD0000199,PRD01708,WH008,2025-03-08,30,online
ORD0000200,PRD05712,WH013,2024-12-14,7,retail
ORD0000201,PRD04147,WH011,2025-08-18,16,wholesale
ORD0000202,PRD08736,WH007,2024-10-26,9,retail
ORD0000203,PRD03820,WH003,2025-09-27,12,online
ORD0000204,PRD08095,WH002,2025-05-21,43,online
ORD0000205,PRD03876,WH014,2025-07-30,40,online
ORD0000206,PRD07313,WH013,2025-09-18,17,online
ORD0000207,PRD08055,WH011,2024-10-25,12,online
ORD0000208,PRD03360,WH017,2025-08-13,49,online
ORD0000209,PRD09094,WH002,2024-12-22,22,retail
ORD0000210,PRD00214,WH018,2025-05-27,22,online
ORD0000211,PRD09497,WH005,2024-12-19,18,retail
ORD0000212,PRD05067,WH020,2025-09-20,22,retail
ORD0000213,PRD02148,WH004,2025-09-17,4,wholesale
ORD0000214,PRD01980,WH010,2025-03-20,17,wholesale
ORD0000215,PRD03492,WH017,2025-04-01,45,online
ORD0000216,PRD01716,WH009,2025-05-07,30,online
ORD0000217,PRD00205,WH006,2025-06-11,35,retail
ORD0000218,PRD08785,WH010,2025-04-18,15,wholesale
ORD0000219,PRD09328,WH004,2025-08-15,33,retail
ORD0000220,PRD06295,WH009,2025-05-29,8,online
ORD0000221,PRD06664,WH001,2024-12-05,3,wholesale
ORD0000222,PRD00202,WH017,2025-03-07,11,retail
ORD0000223,PRD02794,WH004,2025-05-25,32,retail
ORD0000224,PRD04535,WH006,2024-11-04,46,retail
ORD0000225,PRD09100,WH008,2025-09-21,30,wholesale
ORD0000226,PRD00480,WH003,2025-03-02,10,wholesale
ORD0000227,PRD04717,WH001,2025-08-27,30,wholesale
ORD0000228,PRD00383,WH002,2025-08-18,8,online
ORD0000229,PRD07027,WH020,2025-02-08,25,online
ORD0000230,PRD00903,WH005,2025-08-15,24,wholesale
ORD0000231,PRD09132,WH005,2025-01-20,6,retail
ORD0000232,PRD05930,WH007,2025-07-22,23,online
ORD0000233,PRD09068,WH015,2024-11-24,41,wholesale
ORD0000234,PRD03336,WH019,2024-10-27,19,online
ORD0000235,PRD08379,WH018,2025-05-13,38,online
ORD0000236,PRD07873,WH009,2025-09-05,42,online
ORD0000237,PRD01876,WH012,2025-07-21,5,wholesale
ORD0000238,PRD01587,WH015,2025-04-28,2,online
ORD0000239,PRD03204,WH008,2025-08-21,30,online
ORD0000240,PRD00534,WH009,2024-12-03,8,online
ORD0000241,PRD05747,WH010,2025-08-23,35,retail
ORD0000242,PRD08353,WH014,2024-12-04,38,wholesale
ORD0000243,PRD09210,WH002,2025-04-28,31,wholesale
ORD0000244,PRD01623,WH018,2025-04-14,15,retail
ORD0000245,PRD03761,WH013,2025-03-05,24,wholesale
ORD0000246,PRD03205,WH003,2024-10-04,15,online
ORD0000247,PRD02506,WH003,2025-07-11,31,online
ORD0000248,PRD00755,WH014,2025-05-01,45,online
ORD0000249,PRD04332,WH014,2025-05-02,19,online
ORD0000250,PRD07778,WH020,2024-12-16,37,wholesale
ORD0000251,PRD02052,WH012,2025-01-04,47,retail
ORD0000252,PRD09508,WH002,2025-08-09,41,wholesale
ORD0000253,PRD01675,WH019,2025-04-10,46,wholesale
ORD0000254,PRD04437,WH013,2025-07-07,1,online
ORD0000255,PRD06530,WH010,2025-09-16,9,retail
ORD0000256,PRD04466,WH019,2025-09-15,17,retail
ORD0000257,PRD06537,WH017,2025-09-22,5,online
ORD0000258,PRD04313,WH004,2025-05-06,2,wholesale
ORD0000259,PRD06054,WH010,2025-04-16,19,online
ORD0000260,PRD06457,WH017,2025-09-26,23,wholesale
ORD0000261,PRD00074,WH010,2024-10-17,31,wholesale
ORD0000262,PRD07032,WH018,2024-12-15,2,wholesale
ORD0000263,PRD09802,WH016,2025-08-21,35,retail
ORD0000264,PRD07612,WH007,2025-08-27,43,wholesale
ORD0000265,PRD05659,WH001,2025-01-17,24,wholesale
ORD0000266,PRD00666,WH018,2025-05-03,36,wholesale
ORD0000267,PRD03311,WH015,2025-09-01,37,wholesale
ORD0000268,PRD03851,WH012,2025-07-15,46,retail
ORD0000269,PRD09639,WH014,2025-04-10,20,online
ORD0000270,PRD03924,WH004,2025-04-09,37,online
ORD0000271,PRD00908,WH006,2025-08-18,21,online
ORD0000272,PRD05049,WH015,2025-01-15,48,wholesale
ORD0000273,PRD07415,WH020,2025-09-13,23,retail
ORD0000274,PRD02667,WH006,2025-02-08,33,retail
ORD0000275,PRD09177,WH002,2025-01-15,50,retail
ORD0000276,PRD05603,WH014,2025-06-10,22,online
ORD0000277,PRD04242,WH001,2024-10-01,12,wholesale
ORD0000278,PRD05159,WH004,2024-12-08,5,wholesale
ORD0000279,PRD08997,WH006,2025-02-13,46,wholesale
ORD0000280,PRD01295,WH009,2025-01-11,30,online
ORD0000281,PRD08556,WH004,2025-03-11,30,online
ORD0000282,PRD05845,WH012,2025-05-12,10,wholesale
ORD0000283,PRD02143,WH003,2025-09-07,11,retail
ORD0000284,PRD04395,WH001,2024-11-16,45,wholesale
ORD0000285,PRD02556,WH019,2025-04-19,36,wholesale
ORD0000286,PRD08274,WH011,2025-02-14,14,retail
ORD0000287,PRD01141,WH016,2024-12-24,10,online
ORD0000288,PRD08696,WH006,2025-06-14,21,online
ORD0000289,PRD06473,WH010,2025-07-26,38,online
ORD0000290,PRD07122,WH014,2025-03-06,7,retail
ORD0000291,PRD00954,WH006,2025-05-07,23,online
ORD0000292,PRD04695,WH015,2025-08-08,39,retail
ORD0000293,PRD02245,WH007,2025-04-24,36,retail
ORD0000294,PRD06234,WH006,2024-11-23,28,wholesale
ORD0000295,PRD09092,WH020,2025-03-22,35,wholesale
ORD0000296,PRD03253,WH008,2025-08-20,36,retail
ORD0000297,PRD01160,WH009,2025-04-20,15,wholesale
ORD0000298,PRD04315,WH009,2025-02-22,15,online
ORD0000299,PRD06386,WH017,2025-04-10,27,wholesale
ORD0000300,PRD06454,WH020,2025-01-22,14,wholesale
ORD0000301,PRD01657,WH005,2025-08-09,41,wholesale
ORD0000302,PRD02798,WH018,2025-07-03,6,online
ORD0000303,PRD04777,WH006,2025-04-19,18,retail
ORD0000304,PRD04926,WH010,2025-02-21,39,retail
ORD0000305,PRD02198,WH013,2025-01-05,48,wholesale
ORD0000306,PRD08784,WH009,2025-09-10,23,retail
ORD0000307,PRD03705,WH014,2025-07-14,12,wholesale
ORD0000308,PRD09697,WH020,2025-05-02,29,online
ORD0000309,PRD06433,WH020,2025-03-14,43,online
ORD0000310,PRD06789,WH009,2024-10-24,26,retail
ORD0000311,PRD02741,WH005,2025-07-16,36,retail
ORD0000312,PRD03538,WH014,2025-09-11,48,online
ORD0000313,PRD08005,WH007,2024-11-04,17,online
ORD0000314,PRD08483,WH019,2025-04-22,10,retail
ORD0000315,PRD05244,WH011,2025-03-23,28,wholesale
ORD0000316,PRD04933,WH009,2025-08-23,27,retail
ORD0000317,PRD00796,WH009,2025-02-17,6,online
ORD0000318,PRD09696,WH002,2025-03-11,3,wholesale
ORD0000319,PRD03501,WH016,2024-12-26,42,online
ORD0000320,PRD04002,WH003,2025-06-28,48,online
ORD0000321,PRD02482,WH004,2025-07-10,1,online
ORD0000322,PRD08979,WH007,2025-07-15,21,wholesale
ORD0000323,PRD00599,WH006,2025-01-12,1,retail
ORD0000324,PRD02562,WH005,2025-09-06,31,retail
ORD0000325,PRD05734,WH017,2025-02-07,37,retail
ORD0000326,PRD00775,WH018,2025-03-09,8,retail
ORD0000327,PRD08332,WH003,2024-12-24,4,retail
ORD0000328,PRD08012,WH011,2024-10-23,24,wholesale
ORD0000329,PRD03092,WH019,2025-06-15,6,retail
ORD0000330,PRD02843,WH017,2025-03-05,19,wholesale
ORD0000331,PRD06972,WH001,2024-11-15,21,online
ORD0000332,PRD04406,WH007,2025-09-25,6,wholesale
ORD0000333,PRD09076,WH014,2025-01-02,15,online
ORD0000334,PRD02408,WH003,2025-09-24,22,online
ORD0000335,PRD07106,WH017,2024-10-26,22,retail
ORD0000336,PRD09038,WH004,2025-06-23,24,retail
ORD0000337,PRD09802,WH015,2025-02-03,31,online
ORD0000338,PRD04907,WH020,2024-10-11,18,online
ORD0000339,PRD05631,WH005,2025-06-22,49,wholesale
ORD0000340,PRD07716,WH017,2024-11-27,33,retail
ORD0000341,PRD09743,WH013,2025-08-26,50,online
ORD0000342,PRD02824,WH019,2025-06-07,30,wholesale
ORD0000343,PRD06884,WH009,2024-11-25,32,wholesale
ORD0000344,PRD04417,WH001,2024-09-30,21,retail
ORD0000345,PRD08050,WH012,2024-10-02,12,online
ORD0000346,PRD05635,WH009,2025-02-19,9,online
ORD0000347,PRD01503,WH001,2025-09-08,24,retail
ORD0000348,PRD06413,WH017,2025-03-30,39,wholesale
ORD0000349,PRD00778,WH013,2025-01-30,17,online
ORD0000350,PRD09891,WH005,2024-11-06,25,online
ORD0000351,PRD06647,WH016,2024-11-29,22,retail
ORD0000352,PRD03391,WH004,2025-03-28,28,retail
ORD0000353,PRD00271,WH011,2024-10-05,44,wholesale
ORD0000354,PRD01038,WH005,2025-04-16,35,online
ORD0000355,PRD04293,WH005,2025-05-30,44,retail
ORD0000356,PRD08838,WH014,2024-10-13,32,retail
ORD0000357,PRD05733,WH006,2025-07-15,2,wholesale
ORD0000358,PRD00282,WH006,2025-01-14,28,online
ORD0000359,PRD00123,WH001,2025-01-11,49,retail
ORD0000360,PRD09293,WH020,2025-01-28,16,retail
ORD0000361,PRD01475,WH016,2024-10-10,50,wholesale
ORD0000362,PRD02387,WH002,2025-05-26,30,retail
ORD0000363,PRD07793,WH010,2025-05-02,19,wholesale
ORD0000364,PRD06162,WH016,2025-09-08,50,online
ORD0000365,PRD03694,WH019,2024-12-06,35,wholesale
ORD0000366,PRD03104,WH010,2025-08-01,39,retail
ORD0000367,PRD05843,WH017,2024-12-13,29,retail
ORD0000368,PRD08472,WH011,2025-07-08,18,retail
ORD0000369,PRD08625,WH020,2024-11-26,50,retail
ORD0000370,PRD08543,WH016,2025-01-26,26,retail
ORD0000371,PRD08670,WH020,2024-10-26,18,online
ORD0000372,PRD02917,WH001,2025-07-07,39,online
ORD0000373,PRD09715,WH020,2025-01-13,2,wholesale
ORD0000374,PRD03778,WH018,2025-05-01,27,wholesale
ORD0000375,PRD04002,WH004,2025-02-26,33,wholesale
ORD0000376,PRD00304,WH017,2025-07-03,9,retail
ORD0000377,PRD00861,WH017,2025-01-29,16,wholesale
ORD0000378,PRD07964,WH004,2025-08-13,36,online
ORD0000379,PRD00903,WH006,2025-04-05,10,online
ORD0000380,PRD02088,WH020,2025-08-05,2,online
ORD0000381,PRD02224,WH006,2024-12-29,1,retail
ORD0000382,PRD02697,WH010,2024-11-21,14,online
ORD0000383,PRD05513,WH001,2024-11-04,7,retail
ORD0000384,PRD06211,WH005,2024-11-25,38,wholesale
ORD0000385,PRD00765,WH003,2025-06-30,4,retail
ORD0000386,PRD01683,WH012,2025-04-15,13,retail
ORD0000387,PRD06657,WH007,2025-01-08,8,wholesale
ORD0000388,PRD05611,WH002,2025-08-15,28,retail
ORD0000389,PRD06011,WH010,2025-04-27,47,retail
ORD0000390,PRD04727,WH005,2025-08-11,7,wholesale
ORD0000391,PRD03897,WH018,2025-05-05,11,online
ORD0000392,PRD02494,WH002,2024-11-06,4,online
ORD0000393,PRD08716,WH020,2024-10-17,40,retail
ORD0000394,PRD08441,WH012,2024-10-02,50,wholesale
ORD0000395,PRD07195,WH012,2025-06-07,1,retail
ORD0000396,PRD05445,WH012,2025-08-01,44,wholesale
ORD0000397,PRD08728,WH009,2025-05-29,21,retail
ORD0000398,PRD00988,WH013,2025-03-01,5,retail
ORD0000399,PRD01772,WH016,2025-08-11,10,wholesale
ORD0000400,PRD09401,WH020,2025-04-22,36,wholesale
ORD0000401,PRD08962,WH002,2024-10-01,49,wholesale
ORD0000402,PRD01951,WH014,2025-05-11,35,wholesale
ORD0000403,PRD01825,WH014,2025-01-20,49,online
ORD0000404,PRD09747,WH001,2025-04-29,19,online
ORD0000405,PRD08414,WH014,2025-01-27,26,wholesale
ORD0000406,PRD04693,WH005,2024-11-13,14,online
ORD0000407,PRD08789,WH007,2025-03-03,30,online
ORD0000408,PRD07565,WH018,2025-05-16,42,online
ORD0000409,PRD05493,WH014,2025-04-23,45,online
ORD0000410,PRD08737,WH018,2025-03-02,21,wholesale
ORD0000411,PRD09555,WH016,2025-06-12,26,wholesale
ORD0000412,PRD00297,WH012,2025-06-05,25,retail
ORD0000413,PRD00747,WH001,2025-08-24,28,online
ORD0000414,PRD00105,WH004,2025-01-10,45,wholesale
ORD0000415,PRD03322,WH017,2025-07-17,3,retail
ORD0000416,PRD09135,WH015,2025-08-28,50,online
ORD0000417,PRD03720,WH019,2025-04-06,26,online
ORD0000418,PRD07186,WH004,2025-02-03,31,wholesale
ORD0000419,PRD06564,WH003,2025-05-06,50,retail
ORD0000420,PRD00435,WH015,2025-06-29,49,wholesale
ORD0000421,PRD04162,WH012,2025-01-22,17,wholesale
ORD0000422,PRD01530,WH012,2025-04-26,1,wholesale
ORD0000423,PRD05762,WH005,2025-09-27,30,wholesale
ORD0000424,PRD09519,WH008,2024-11-02,28,wholesale
ORD0000425,PRD05688,WH020,2025-09-21,26,retail
ORD0000426,PRD01516,WH001,2024-11-13,16,online
ORD0000427,PRD09065,WH003,2025-06-26,10,retail
ORD0000428,PRD06268,WH004,2025-07-16,16,online
ORD0000429,PRD09624,WH013,2025-02-06,49,online
ORD0000430,PRD08484,WH006,2025-09-18,43,retail
ORD0000431,PRD09347,WH009,2025-09-09,18,wholesale
ORD0000432,PRD07149,WH015,2025-01-18,31,online
ORD0000433,PRD08497,WH012,2024-12-29,34,wholesale
ORD0000434,PRD05576,WH018,2025-09-06,34,online
ORD0000435,PRD07068,WH013,2024-11-02,33,retail
ORD0000436,PRD01252,WH016,2024-10-23,7,wholesale
ORD0000437,PRD00975,WH003,2025-07-31,47,wholesale
ORD0000438,PRD02878,WH003,2025-09-16,32,wholesale
ORD0000439,PRD01197,WH008,2025-06-03,43,retail
ORD0000440,PRD06520,WH017,2024-10-07,37,online
ORD0000441,PRD05140,WH019,2025-06-01,7,wholesale
ORD0000442,PRD09057,WH010,2025-03-28,31,online
ORD0000443,PRD07341,WH016,2025-06-28,26,online
ORD0000444,PRD00884,WH019,2025-06-29,8,online
ORD0000445,PRD08575,WH017,2025-08-24,14,online
ORD0000446,PRD07970,WH009,2025-09-17,48,online
ORD0000447,PRD06314,WH020,2025-07-14,22,wholesale
ORD0000448,PRD02384,WH005,2025-08-17,46,online
ORD0000449,PRD04099,WH007,2025-05-12,25,wholesale
ORD0000450,PRD08279,WH005,2025-01-02,9,wholesale
ORD0000451,PRD03695,WH001,2025-01-18,27,online
ORD0000452,PRD05462,WH015,2024-10-15,21,wholesale
ORD0000453,PRD09843,WH006,2025-05-14,12,retail
ORD0000454,PRD03751,WH019,2024-10-24,44,wholesale
ORD0000455,PRD08539,WH002,2025-08-26,17,online
ORD0000456,PRD04460,WH004,2025-09-26,28,retail
ORD0000457,PRD06424,WH019,2025-03-21,37,wholesale
ORD0000458,PRD05861,WH001,2025-06-03,31,wholesale
ORD0000459,PRD00687,WH003,2025-03-24,25,retail
ORD0000460,PRD03635,WH014,2025-04-23,50,online
ORD0000461,PRD00044,WH002,2025-09-09,38,retail
ORD0000462,PRD08261,WH003,2025-07-13,46,wholesale
ORD0000463,PRD04287,WH016,2025-02-11,11,retail
ORD0000464,PRD06560,WH013,2025-07-04,33,wholesale
ORD0000465,PRD02819,WH015,2025-07-20,14,wholesale
ORD0000466,PRD00263,WH001,2025-05-09,12,retail
ORD0000467,PRD05250,WH006,2025-04-01,23,online
ORD0000468,PRD00872,WH012,2025-04-22,17,retail
ORD0000469,PRD03205,WH019,2025-06-08,19,retail
ORD0000470,PRD07087,WH010,2025-02-27,10,online
ORD0000471,PRD01139,WH003,2024-12-02,35,wholesale
ORD0000472,PRD06239,WH008,2025-01-19,3,wholesale
ORD0000473,PRD05902,WH006,2025-01-09,3,wholesale
ORD0000474,PRD00981,WH004,2025-02-20,41,wholesale
