movement_id,product_id,warehouse_id,movement_date,quantity,movement_type
MV0000059,PRD07314,WH001,2025-03-19,-72,adjustment
MV0000060,PRD02741,WH019,2025-09-05,834,outbound
MV0000061,PRD05900,WH006,2024-12-28,92,outbound
MV0000062,PRD09043,WH018,2025-01-09,18,replenishment
MV0000063,PRD02225,WH020,2025-01-16,298,replenishment
MV0000064,PRD06285,WH006,2025-01-24,819,replenishment
MV0000065,PRD03512,WH018,2025-09-13,393,replenishment
MV0000066,PRD00787,WH001,2024-12-12,523,adjustment
MV0000067,PRD07130,WH003,2025-07-10,957,replenishment
MV0000068,PRD01111,WH005,2024-10-02,-80,replenishment
MV0000069,PRD08159,WH015,2025-01-16,942,outbound
MV0000070,PRD06416,WH016,2025-07-18,-229,adjustment
MV0000071,PRD00729,WH014,2025-04-09,33,adjustment
MV0000072,PRD04461,WH007,2024-11-28,-256,replenishment
MV0000073,PRD08772,WH007,2025-01-13,-301,adjustment
MV0000074,PRD01651,WH008,2025-05-16,675,adjustment
MV0000075,PRD00775,WH020,2025-03-12,295,replenishment
MV0000076,PRD01278,WH002,2024-11-19,84,adjustment
MV0000077,PRD00163,WH012,2025-06-16,-320,replenishment
MV0000078,PRD05452,WH008,2025-04-30,462,outbound
MV0000079,PRD05544,WH010,2025-07-01,537,adjustment
MV0000080,PRD02367,WH016,2025-09-05,568,adjustment
MV0000081,PRD08125,WH014,2024-12-23,204,outbound
MV0000082,PRD09107,WH019,2024-11-15,656,outbound
MV0000083,PRD02851,WH011,2025-07-18,317,outbound
MV0000084,PRD06718,WH018,2025-07-19,829,adjustment
MV0000085,PRD02707,WH012,2025-03-20,-496,adjustment
MV0000086,PRD04600,WH015,2025-04-28,200,adjustment
MV0000087,PRD03107,WH002,2025-09-17,-362,replenishment
MV0000088,PRD02376,WH004,2025-08-01,587,replenishment
MV0000089,PRD03798,WH020,2024-10-03,765,outbound
MV0000090,PRD01718,WH009,2025-08-08,-387,outbound
MV0000091,PRD07577,WH009,2024-11-30,-65,outbound
MV0000092,PRD08537,WH011,2025-05-23,-113,replenishment
MV0000093,PRD07355,WH008,2025-06-13,271,replenishment
MV0000094,PRD05599,WH008,2025-04-25,-229,adjustment
MV0000095,PRD01940,WH018,2025-01-02,553,replenishment
MV0000096,PRD04869,WH020,2025-01-05,558,adjustment
MV0000097,PRD03333,WH006,2025-08-31,182,replenishment
MV0000098,PRD00767,WH015,2024-10-01,-62,replenishment
MV0000099,PRD08904,WH002,2025-03-01,7,adjustment
MV0000100,PRD00916,WH004,2025-09-22,954,outbound
MV0000101,PRD05514,WH003,2024-10-02,85,adjustment
MV0000102,PRD00144,WH019,2025-09-03,621,adjustment
MV0000103,PRD07860,WH015,2024-12-12,806,replenishment
MV0000104,PRD01369,WH002,2024-09-28,55,adjustment
MV0000105,PRD00865,WH012,2025-02-05,224,outbound
MV0000106,PRD02930,WH011,2025-04-21,-14,replenishment
MV0000107,PRD01675,WH003,2025-04-14,-309,replenishment
MV0000108,PRD00118,WH003,2024-10-20,433,outbound
MV0000109,PRD04794,WH018,2024-10-20,983,outbound
MV0000110,PRD01574,WH020,2025-09-05,27,adjustment
MV0000111,PRD09676,WH001,2025-03-30,-107,adjustment
MV0000112,PRD04393,WH002,2025-06-14,702,adjustment
MV0000113,PRD08993,WH004,2024-11-09,320,outbound
MV0000114,PRD09622,WH016,2025-07-01,-391,outbound
MV0000115,PRD07077,WH017,2024-10-05,815,adjustment
MV0000116,PRD02820,WH005,2025-07-02,585,replenishment
MV0000117,PRD06579,WH007,2025-05-16,419,adjustment
MV0000118,PRD08377,WH012,2025-01-19,228,adjustment
MV0000119,PRD02031,WH004,2024-12-12,240,replenishment
MV0000120,PRD04499,WH010,2025-04-01,454,replenishment
MV0000121,PRD05564,WH008,2025-01-14,770,adjustment
MV0000122,PRD02395,WH006,2025-01-23,473,replenishment
MV0000123,PRD01728,WH005,2025-04-03,431,outbound
MV0000124,PRD04139,WH007,2025-03-01,-72,adjustment
MV0000125,PRD07798,WH019,2024-10-21,394,adjustment
MV0000126,PRD00101,WH019,2025-02-27,-138,replenishment
MV0000127,PRD06007,WH020,2025-05-27,-374,replenishment
MV0000128,PRD02325,WH007,2025-02-24,775,replenishment
MV0000129,PRD05448,WH005,2024-12-06,998,adjustment
MV0000130,PRD01747,WH020,2025-02-07,282,outbound
MV0000131,PRD02413,WH005,2025-05-16,-257,outbound
MV0000132,PRD08002,WH006,2025-06-14,924,replenishment
MV0000133,PRD03892,WH020,2024-10-05,610,outbound
MV0000134,PRD07214,WH020,2025-04-13,289,adjustment
MV0000135,PRD02582,WH002,2025-03-11,-138,outbound
MV0000136,PRD03645,WH016,2025-01-07,181,adjustment
MV0000137,PRD08123,WH016,2024-11-26,-370,replenishment
MV0000138,PRD05119,WH005,2024-10-03,215,replenishment
MV0000139,PRD00627,WH017,2024-10-10,-270,outbound
MV0000140,PRD05999,WH020,2025-03-05,449,adjustment
MV0000141,PRD08459,WH012,2024-12-22,684,adjustment
MV0000142,PRD07453,WH004,2025-02-24,344,outbound
MV0000143,PRD09082,WH003,2025-06-20,652,replenishment
MV0000144,PRD05998,WH015,2025-01-24,-369,replenishment
MV0000145,PRD08369,WH018,2025-09-25,-298,outbound
MV0000146,PRD03043,WH008,2025-06-22,-259,outbound
MV0000147,PRD04834,WH018,2025-09-07,752,adjustment
MV0000148,PRD08399,WH005,2025-07-04,-309,outbound
MV0000149,PRD08380,WH012,2024-11-16,283,adjustment
MV0000150,PRD01879,WH014,2025-07-30,743,adjustment
MV0000151,PRD06694,WH010,2025-01-08,-2,outbound
MV0000152,PRD08186,WH018,2024-11-11,947,outbound
MV0000153,PRD02413,WH005,2025-04-06,90,adjustment
MV0000154,PRD00199,WH002,2025-01-08,29,adjustment
MV0000155,PRD03650,WH012,2025-06-02,576,outbound
MV0000156,PRD00361,WH005,2025-06-11,752,adjustment
MV0000157,PRD04873,WH006,2025-09-08,629,replenishment
MV0000158,PRD07787,WH012,2025-05-24,-47,replenishment
MV0000159,PRD02373,WH003,2024-11-23,495,replenishment
MV0000160,PRD09777,WH008,2025-07-29,292,replenishment
MV0000161,PRD07044,WH015,2025-07-28,539,adjustment
MV0000162,PRD07216,WH020,2025-07-21,736,outbound
MV0000163,PRD05960,WH014,2025-07-08,-358,replenishment
MV0000164,PRD05294,WH004,2025-06-15,563,outbound
MV0000165,PRD06537,WH014,2025-04-25,155,outbound
MV0000166,PRD01707,WH007,2025-02-20,-235,outbound
MV0000167,PRD04622,WH008,2025-07-17,197,adjustment
MV0000168,PRD02758,WH014,2025-05-05,-486,adjustment
MV0000169,PRD06617,WH009,2025-06-29,-179,adjustment
MV0000170,PRD05739,WH003,2025-03-17,876,outbound
MV0000171,PRD04915,WH018,2025-08-28,364,adjustment
MV0000172,PRD03297,WH006,2025-04-24,352,replenishment
MV0000173,PRD08391,WH008,2024-11-03,761,adjustment
MV0000174,PRD07371,WH012,2025-07-15,238,replenishment
MV0000175,PRD09277,WH012,2024-10-23,-267,replenishment
MV0000176,PRD08469,WH010,2025-02-27,0,adjustment
MV0000177,PRD07157,WH010,2025-07-21,-81,replenishment
MV0000178,PRD09152,WH020,2025-03-28,553,adjustment
MV0000179,PRD03935,WH011,2025-09-04,-103,adjustment
MV0000180,PRD02456,WH009,2025-08-14,297,replenishment
MV0000181,PRD04875,WH009,2025-04-08,-428,adjustment
MV0000182,PRD03561,WH012,2025-06-11,461,replenishment
MV0000183,PRD03558,WH001,2025-09-03,719,replenishment
MV0000184,PRD02705,WH006,2024-12-19,246,replenishment
MV0000185,PRD01998,WH015,2025-08-23,697,replenishment
MV0000186,PRD03512,WH001,2025-09-22,681,outbound
MV0000187,PRD07267,WH019,2025-09-15,252,outbound
MV0000188,PRD03995,WH018,2024-12-26,191,adjustment
MV0000189,PRD07368,WH020,2025-04-24,578,replenishment
MV0000190,PRD09627,WH014,2024-10-14,-182,adjustment
MV0000191,PRD00483,WH019,2025-05-10,29,outbound
MV0000192,PRD00072,WH004,2024-10-20,480,replenishment
MV0000193,PRD07700,WH019,2025-02-03,553,replenishment
MV0000194,PRD01918,WH013,2025-04-27,-77,adjustment
MV0000195,PRD04616,WH006,2025-09-22,271,outbound
MV0000196,PRD02197,WH008,2025-07-31,-88,outbound
MV0000197,PRD08738,WH007,2024-11-05,446,adjustment
MV0000198,PRD08387,WH016,2025-03-29,956,adjustment
MV0000199,PRD05719,WH009,2025-06-01,-79,replenishment
MV0000200,PRD06915,WH017,2025-02-22,265,replenishment
MV0000201,PRD00928,WH001,2025-07-04,330,replenishment
MV0000202,PRD06639,WH006,2024-12-31,-119,outbound
MV0000203,PRD05494,WH007,2025-08-05,702,outbound
MV0000204,PRD03458,WH004,2025-08-17,-184,adjustment
MV0000205,PRD04972,WH008,2024-10-05,144,outbound
MV0000206,PRD02146,WH003,2025-01-03,244,replenishment
MV0000207,PRD05316,WH001,2025-07-16,-281,outbound
MV0000208,PRD00449,WH002,2025-01-18,97,replenishment
MV0000209,PRD06010,WH006,2025-04-03,386,replenishment
MV0000210,PRD05883,WH018,2025-09-07,-199,outbound
MV0000211,PRD06848,WH019,2025-05-23,-379,replenishment
MV0000212,PRD07715,WH011,2025-08-17,634,replenishment
MV0000213,PRD08972,WH008,2024-10-18,371,replenishment
MV0000214,PRD04783,WH010,2025-08-01,489,replenishment
MV0000215,PRD00095,WH002,2024-11-09,688,adjustment
MV0000216,PRD02302,WH006,2025-05-13,964,adjustment
MV0000217,PRD00281,WH020,2024-11-27,-207,replenishment
MV0000218,PRD07010,WH013,2025-09-07,-180,adjustment
MV0000219,PRD00716,WH013,2025-04-17,958,adjustment
MV0000220,PRD04643,WH011,2024-12-19,210,replenishment
MV0000221,PRD01452,WH015,2025-05-18,168,outbound
MV0000222,PRD07680,WH013,2025-09-11,-235,outbound
MV0000223,PRD02872,WH015,2024-09-30,961,replenishment
MV0000224,PRD02141,WH004,2025-08-12,510,replenishment
MV0000225,PRD00487,WH012,2025-06-17,731,adjustment
MV0000226,PRD02156,WH005,2025-08-02,469,outbound
MV0000227,PRD04585,WH003,2025-07-31,-373,adjustment
MV0000228,PRD03758,WH003,2024-11-15,408,replenishment
MV0000229,PRD07816,WH012,2025-02-01,-25,replenishment
MV0000230,PRD07936,WH016,2024-12-14,978,outbound
MV0000231,PRD01631,WH005,2025-09-24,-284,replenishment
MV0000232,PRD05892,WH001,2025-07-22,933,outbound
MV0000233,PRD07689,WH019,2025-02-12,-234,adjustment
MV0000234,PRD03976,WH015,2025-06-02,-340,outbound
MV0000235,PRD00417,WH013,2025-01-25,510,outbound
MV0000236,PRD01705,WH017,2024-12-26,-196,outbound
MV0000237,PRD06260,WH004,2025-09-09,324,outbound
MV0000238,PRD09896,WH008,2024-11-08,233,outbound
MV0000239,PRD00646,WH017,2025-06-25,445,outbound
MV0000240,PRD02391,WH011,2024-11-02,134,adjustment
MV0000241,PRD03395,WH014,2025-09-11,865,outbound
MV0000242,PRD05743,WH003,2024-10-21,237,adjustment
MV0000243,PRD06241,WH005,2025-08-23,552,outbound
MV0000244,PRD04859,WH017,2025-08-28,-10,outbound
MV0000245,PRD03355,WH020,2025-02-18,396,adjustment
MV0000246,PRD09013,WH006,2025-07-31,3,replenishment
MV0000247,PRD03089,WH015,2025-05-16,226,outbound
MV0000248,PRD08473,WH016,2025-06-11,862,replenishment
MV0000249,PRD01524,WH006,2025-06-16,-316,outbound
MV0000250,PRD04430,WH020,2025-09-20,421,adjustment
MV0000251,PRD07030,WH008,2025-09-12,-472,replenishment
MV0000252,PRD06820,WH010,2025-05-11,872,adjustment
MV0000253,PRD05699,WH015,2024-10-15,-68,replenishment
MV0000254,PRD06822,WH004,2025-06-20,-320,outbound
MV0000255,PRD05495,WH005,2025-09-06,-142,outbound
MV0000256,PRD02802,WH005,2025-07-25,627,replenishment
MV0000257,PRD01725,WH016,2024-10-04,-491,replenishment
MV0000258,PRD05858,WH002,2024-10-29,821,replenishment
MV0000259,PRD08970,WH014,2025-03-15,938,adjustment
MV0000260,PRD02869,WH012,2025-01-01,-239,outbound
MV0000261,PRD09059,WH013,2024-11-15,-252,replenishment
MV0000262,PRD04481,WH001,2025-03-04,734,replenishment
MV0000263,PRD09560,WH020,2025-03-20,685,outbound
MV0000264,PRD00008,WH014,2025-08-08,400,outbound
MV0000265,PRD08974,WH012,2024-12-01,133,outbound
MV0000266,PRD07954,WH019,2025-01-01,-202,adjustment
MV0000267,PRD09156,WH005,2025-02-09,42,replenishment
MV0000268,PRD09064,WH005,2025-02-12,893,outbound
MV0000269,PRD06538,WH020,2025-08-26,137,replenishment
MV0000270,PRD03919,WH014,2024-12-15,659,outbound
MV0000271,PRD07756,WH006,2024-09-30,146,outbound
MV0000272,PRD06423,WH002,2025-07-06,-77,adjustment
MV0000273,PRD09764,WH004,2025-02-22,-120,replenishment
MV0000274,PRD09849,WH014,2024-10-23,205,replenishment
MV0000275,PRD02052,WH020,2025-04-19,212,adjustment
MV0000276,PRD07377,WH008,2025-04-24,11,replenishment
MV0000277,PRD08067,WH005,2025-07-07,396,adjustment
MV0000278,PRD07129,WH010,2025-01-08,-345,replenishment
MV0000279,PRD05299,WH009,2025-08-04,-433,adjustment
MV0000280,PRD02293,WH013,2025-03-11,135,adjustment
MV0000281,PRD04611,WH006,2025-03-15,862,adjustment
MV0000282,PRD08696,WH016,2024-10-19,837,replenishment
MV0000283,PRD09203,WH015,2025-06-12,-243,outbound
MV0000284,PRD05036,WH020,2025-06-28,788,adjustment
MV0000285,PRD08410,WH011,2025-05-03,-364,outbound
MV0000286,PRD01583,WH010,2025-01-03,372,replenishment
MV0000287,PRD08534,WH017,2024-12-25,-22,outbound
MV0000288,PRD07604,WH003,2025-05-23,785,replenishment
MV0000289,PRD02233,WH016,2025-09-26,-122,replenishment
MV0000290,PRD08255,WH008,2025-01-12,120,outbound
MV0000291,PRD00786,WH018,2025-05-19,-436,replenishment
MV0000292,PRD02938,WH020,2025-04-06,507,outbound
MV0000293,PRD01147,WH001,2025-02-05,555,replenishment
MV0000294,PRD04160,WH018,2025-05-23,83,replenishment
MV0000295,PRD00292,WH018,2025-09-02,799,outbound
MV0000296,PRD00796,WH009,2025-09-09,981,replenishment
MV0000297,PRD09443,WH011,2025-04-01,-122,outbound
MV0000298,PRD03775,WH006,2025-06-07,515,replenishment
MV0000299,PRD02479,WH019,2024-10-10,248,adjustment
MV0000300,PRD01414,WH015,2025-04-18,385,adjustment
MV0000301,PRD00096,WH008,2025-05-12,508,replenishment
MV0000302,PRD06988,WH012,2024-12-31,674,outbound
MV0000303,PRD06986,WH004,2025-05-12,-97,adjustment
MV0000304,PRD00156,WH013,2025-04-23,-65,replenishment
MV0000305,PRD01621,WH020,2024-10-23,-425,adjustment
MV0000306,PRD04649,WH007,2025-03-07,388,adjustment
MV0000307,PRD06659,WH018,2025-09-19,964,replenishment
MV0000308,PRD03425,WH016,2025-03-15,18,outbound
MV0000309,PRD07895,WH013,2024-11-03,667,outbound
MV0000310,PRD03248,WH016,2025-02-13,559,outbound
MV0000311,PRD08028,WH001,2025-04-29,887,adjustment
MV0000312,PRD02927,WH007,2025-01-19,97,outbound
MV0000313,PRD04157,WH003,2025-05-30,-411,adjustment
MV0000314,PRD03424,WH020,2025-08-22,249,adjustment
MV0000315,PRD04671,WH002,2025-05-15,359,outbound
MV0000316,PRD09335,WH011,2024-12-22,566,adjustment
MV0000317,PRD02847,WH015,2024-11-16,350,outbound
MV0000318,PRD09617,WH005,2024-10-30,91,replenishment
MV0000319,PRD04651,WH003,2025-03-22,125,outbound
MV0000320,PRD03045,WH018,2025-02-04,69,outbound
MV0000321,PRD03113,WH009,2025-07-15,-351,adjustment
MV0000322,PRD08607,WH006,2025-09-12,563,replenishment
MV0000323,PRD04312,WH005,2025-07-23,826,outbound
MV0000324,PRD05914,WH009,2024-12-30,564,outbound
MV0000325,PRD04898,WH018,2025-09-02,675,adjustment
MV0000326,PRD05499,WH010,2025-07-12,584,replenishment
MV0000327,PRD02409,WH004,2024-11-10,-213,replenishment
MV0000328,PRD03848,WH019,2024-12-23,534,replenishment
MV0000329,PRD07293,WH008,2025-01-29,994,adjustment
MV0000330,PRD00326,WH019,2025-03-20,909,outbound
MV0000331,PRD08056,WH014,2025-07-13,901,outbound
MV0000332,PRD04664,WH019,2025-06-21,117,replenishment
MV0000333,PRD02343,WH011,2025-07-15,344,replenishment
MV0000334,PRD03184,WH020,2025-02-01,-338,adjustment
MV0000335,PRD06361,WH003,2025-03-10,-320,replenishment
MV0000336,PRD09013,WH005,2025-06-30,373,outbound
MV0000337,PRD09347,WH003,2025-05-25,190,replenishment
MV0000338,PRD03749,WH017,2025-05-14,-145,replenishment
MV0000339,PRD06193,WH010,2025-09-05,-310,replenishment
MV0000340,PRD06494,WH017,2025-09-16,799,replenishment
MV0000341,PRD06779,WH011,2025-06-18,275,adjustment
MV0000342,PRD04905,WH017,2025-07-13,-385,adjustment
MV0000343,PRD01370,WH002,2025-09-09,82,adjustment
MV0000344,PRD02839,WH004,2024-11-07,-451,adjustment
MV0000345,PRD05874,WH002,2024-11-23,269,outbound
MV0000346,PRD03091,WH019,2025-08-20,879,replenishment
MV0000347,PRD09924,WH008,2025-02-19,401,replenishment
MV0000348,PRD00630,WH002,2025-01-24,471,outbound
MV0000349,PRD00471,WH016,2025-09-20,-491,adjustment
MV0000350,PRD06526,WH006,2024-10-27,506,adjustment
MV0000351,PRD09133,WH013,2025-03-26,840,outbound
MV0000352,PRD08521,WH009,2025-03-05,510,replenishment
MV0000353,PRD05107,WH019,2025-05-16,189,replenishment
MV0000354,PRD01080,WH005,2025-03-06,843,adjustment
MV0000355,PRD04116,WH017,2025-02-05,588,replenishment
MV0000356,PRD06459,WH014,2025-06-12,-346,outbound
MV0000357,PRD08666,WH009,2024-12-19,772,outbound
MV0000358,PRD08055,WH016,2025-05-15,-262,outbound
MV0000359,PRD06397,WH015,2025-02-06,-297,replenishment
MV0000360,PRD09723,WH011,2025-04-14,761,outbound
MV0000361,PRD00270,WH016,2024-12-10,681,adjustment
MV0000362,PRD02475,WH011,2025-05-14,710,outbound
MV0000363,PRD03129,WH019,2025-03-26,-383,replenishment
MV0000364,PRD00809,WH012,2024-10-19,700,outbound
MV0000365,PRD09140,WH004,2025-06-16,463,adjustment
MV0000366,PRD07913,WH016,2025-09-14,-37,replenishment
MV0000367,PRD08280,WH007,2025-09-23,-146,adjustment
MV0000368,PRD06688,WH017,2024-12-28,-358,outbound
MV0000369,PRD02050,WH015,2025-09-23,-251,replenishment
MV0000370,PRD07066,WH003,2025-08-11,-48,replenishment
MV0000371,PRD03165,WH010,2025-04-05,334,outbound
MV0000372,PRD09343,WH012,2025-06-15,102,replenishment
MV0000373,PRD06871,WH010,2025-09-13,111,outbound
MV0000374,PRD01757,WH004,2025-03-25,877,replenishment
MV0000375,PRD08150,WH012,2024-10-17,273,outbound
MV0000376,PRD06199,WH004,2025-08-14,747,adjustment
MV0000377,PRD03069,WH005,2025-03-02,984,replenishment
MV0000378,PRD02992,WH002,2025-05-23,572,replenishment
MV0000379,PRD09628,WH009,2024-12-30,677,adjustment
MV0000380,PRD02527,WH013,2025-02-20,596,adjustment
MV0000381,PRD05106,WH016,2025-07-03,-2,replenishment
MV0000382,PRD04240,WH013,2025-08-28,139,adjustment
MV0000383,PRD07677,WH007,2024-10-02,-335,outbound
MV0000384,PRD06379,WH020,2024-11-29,532,adjustment
MV0000385,PRD07219,WH012,2025-01-03,-499,adjustment
MV0000386,PRD06869,WH003,2025-07-01,538,adjustment
MV0000387,PRD08938,WH017,2025-03-28,-138,adjustment
MV0000388,PRD07002,WH009,2025-02-17,189,adjustment
MV0000389,PRD01843,WH007,2025-05-20,-491,adjustment
MV0000390,PRD02137,WH002,2025-09-06,589,adjustment
MV0000391,PRD02732,WH016,2025-01-23,-158,outbound
MV0000392,PRD05590,WH002,2025-02-02,849,outbound
MV0000393,PRD01208,WH013,2025-07-10,298,adjustment
MV0000394,PRD08187,WH011,2025-07-06,87,adjustment
MV0000395,PRD08656,WH007,2025-08-07,846,outbound
MV0000396,PRD04568,WH013,2025-02-04,-351,adjustment
MV0000397,PRD09577,WH015,2025-09-09,879,adjustment
MV0000398,PRD08698,WH013,2025-02-22,632,adjustment
MV0000399,PRD04089,WH013,2024-11-19,124,outbound
MV0000400,PRD03828,WH002,2024-11-17,531,replenishment
MV0000401,PRD06457,WH002,2025-06-11,116,replenishment
MV0000402,PRD05030,WH003,2025-03-28,391,replenishment
MV0000403,PRD09123,WH003,2025-07-29,-395,adjustment
MV0000404,PRD09541,WH017,2024-12-10,546,outbound
MV0000405,PRD08314,WH020,2025-01-12,35,adjustment
MV0000406,PRD08729,WH014,2024-12-29,684,adjustment
MV0000407,PRD00228,WH004,2025-07-22,439,replenishment
MV0000408,PRD08024,WH008,2025-07-10,791,adjustment
MV0000409,PRD00958,WH019,2025-06-01,-214,replenishment
MV0000410,PRD00822,WH007,2025-05-28,397,replenishment
MV0000411,PRD06517,WH019,2024-12-09,181,outbound
MV0000412,PRD01602,WH011,2025-05-25,-290,adjustment
MV0000413,PRD07112,WH011,2025-08-03,-230,outbound
MV0000414,PRD05694,WH010,2025-04-26,-460,adjustment
MV0000415,PRD04288,WH019,2024-12-14,-138,adjustment
MV0000416,PRD02559,WH009,2025-04-16,-344,replenishment
MV0000417,PRD04470,WH008,2025-01-17,827,replenishment
MV0000418,PRD02333,WH004,2024-12-09,340,replenishment
MV0000419,PRD00816,WH017,2024-11-05,-247,adjustment
MV0000420,PRD03673,WH009,2025-01-01,894,replenishment
MV0000421,PRD02366,WH020,2025-07-01,599,outbound
MV0000422,PRD07882,WH004,2025-08-05,-336,outbound
MV0000423,PRD01177,WH016,2025-01-25,-417,adjustment
MV0000424,PRD05984,WH003,2025-03-18,778,replenishment
MV0000425,PRD02965,WH007,2024-12-27,348,adjustment
MV0000426,PRD04403,WH005,2025-06-29,778,outbound
MV0000427,PRD08936,WH005,2025-04-22,116,adjustment
MV0000428,PRD09696,WH019,2025-01-08,-172,outbound
MV0000429,PRD04760,WH005,2025-09-16,-117,replenishment
MV0000430,PRD09223,WH014,2025-06-11,758,adjustment
MV0000431,PRD05518,WH011,2024-11-20,410,adjustment
MV0000432,PRD01143,WH003,2025-01-11,452,replenishment
MV0000433,PRD00398,WH007,2025-01-01,388,replenishment
MV0000434,PRD01942,WH002,2025-09-15,801,adjustment
MV0000435,PRD07016,WH016,2025-05-29,496,replenishment
MV0000436,PRD08724,WH018,2024-10-18,859,replenishment
MV0000437,PRD00974,WH017,2024-11-03,-317,replenishment
MV0000438,PRD08511,WH015,2025-09-11,160,adjustment
MV0000439,PRD05190,WH003,2025-01-26,-366,replenishment
MV0000440,PRD06251,WH010,2025-05-17,211,adjustment
MV0000441,PRD05379,WH007,2025-05-05,496,replenishment
MV0000442,PRD08828,WH020,2025-09-20,-214,adjustment
MV0000443,PRD05322,WH005,2025-04-03,695,replenishment
MV0000444,PRD03185,WH002,2025-02-13,806,outbound
MV0000445,PRD05802,WH015,2025-01-23,371,replenishment
MV0000446,PRD00555,WH010,2025-09-22,619,replenishment
MV0000447,PRD02387,WH006,2025-04-16,402,adjustment
MV0000448,PRD02319,WH008,2025-02-08,832,outbound
MV0000449,PRD05203,WH017,2025-08-18,-296,replenishment
MV0000450,PRD06319,WH009,2025-09-25,5,replenishment
MV0000451,PRD07661,WH002,2024-10-10,872,adjustment
MV0000452,PRD09560,WH001,2024-12-18,5,outbound
MV0000453,PRD04085,WH007,2025-08-06,639,replenishment
MV0000454,PRD07247,WH019,2025-08-03,666,outbound
MV0000455,PRD00562,WH018,2025-08-08,364,outbound
MV0000456,PRD07730,WH014,2025-03-19,430,adjustment
MV0000457,PRD02829,WH011,2024-11-13,-144,outbound
MV0000458,PRD01782,WH008,2025-02-08,-366,replenishment
MV0000459,PRD00538,WH019,2024-10-07,193,outbound
MV0000460,PRD05252,WH009,2025-04-10,14,adjustment
MV0000461,PRD07709,WH017,2025-09-19,749,outbound
MV0000462,PRD00800,WH013,2025-08-25,701,outbound
MV0000463,PRD05541,WH009,2025-03-11,67,replenishment
MV0000464,PRD08568,WH005,2025-07-30,697,outbound
